Community Board,Facility Name,Facility Address,Facility Type,Capacity/Type ,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
3,PS 1 Tottenville,"58 Summit St, Staten Island, New York, 10307",Elementary School,523 Children,40.508965,-74.243824,1,rooftop,58,Summit St,Staten Island,NY,Richmond County,10307,US,City of New York
3,PS 23 Richmondtown,"30 Natick St, Staten Island, New York, 10306",Elementary School,495 Children,40.571036,-74.132861,1,rooftop,30,Natick St,Staten Island,NY,Richmond County,10306,US,City of New York
3,PS 3 The Margaret Gioiosa School,"80 S Goff Ave, Staten Island, New York, 10309",Elementary School,1018 Children,40.520291,-74.211414,1,rooftop,80,S Goff Ave,Staten Island,NY,Richmond County,10309,US,City of New York
3,PS 32 The Gifford School,"32 Elverton Ave, Staten Island, New York, 10308",Elementary School,784 Children,40.556665,-74.155014,1,range_interpolation,32,Elverton Ave,Staten Island,NY,Richmond County,10308,US,TIGER/Line® dataset from the US Census Bureau
3,PS 36 J C Drumgoole,"255 Ionia Ave, Staten Island, New York, 10312",Elementary School,932 Children,40.543226,-74.182498,1,rooftop,255,Ionia Ave,Staten Island,NY,Richmond County,10312,US,City of New York
3,PS 4 Maurice Wollin,"200 Nedra Lane, Staten Island, New York, 10312",Elementary School,769 Children,40.552373,-74.195516,1,rooftop,200,Nedra Ln,Staten Island,NY,Richmond County,10312,US,City of New York
3,PS 42 Eltingville,"380 Genesee Ave, Staten Island, New York, 10312",Elementary School,940 Children,40.552352,-74.169425,1,rooftop,380,Genesee Ave,Staten Island,NY,Richmond County,10312,US,City of New York
3,PS 5 Huguenot,"348 Deisius St, Staten Island, New York, 10312",Elementary School,212 Children,40.529959,-74.187685,1,rooftop,348,Deisius St,Staten Island,NY,Richmond County,10312,US,City of New York
3,PS 50 Frank Hankinson,"200 Adelaide Ave, Staten Island, New York, 10306",Elementary School,888 Children,40.561404,-74.124481,1,rooftop,200,Adelaide Ave,Staten Island,NY,Richmond County,10306,US,City of New York
3,PS 53 Bay Terrace,"330 Durant Ave, Staten Island, New York, 10308",Elementary School,659 Children,40.552129,-74.137382,1,rooftop,330,Durant Ave,Staten Island,NY,Richmond County,10308,US,City of New York
3,PS 55 Henry M Boehm,"54 Osborne St, Staten Island, New York, 10312",Elementary School,664 Children,40.536556,-74.163617,1,rooftop,54,Osborne St,Staten Island,NY,Richmond County,10312,US,City of New York
3,PS 56 The Louis Desario School,"250 Kramer Ave, Staten Island, New York, 10309",Elementary School,731 Children,40.542019,-74.213836,1,rooftop,250,Kramer Ave,Staten Island,NY,Richmond County,10309,US,City of New York
3,PS 6 Cpl Allan F Kivlehan School,"555 Page Ave, Staten Island, New York, 10307",Elementary School,753 Children,40.510668,-74.230953,1,range_interpolation,555,Page Ave,Staten Island,NY,Richmond County,10307,US,TIGER/Line® dataset from the US Census Bureau
3,PS 8 Shirlee Solomon ,"112 Lindenwood Rd, Staten Island, New York, 10308",Elementary School,546 Children,40.547645,-74.151951,1,rooftop,112,Lindenwood Rd,Staten Island,NY,Richmond County,10308,US,City of New York
